Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
556,9338,76,483,1192,483,14,0.5433616787433188,0.0089775910007405,Hamamelis,virginiana,American witchhazel,Hamamelis virginiana,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Lagoons
560,9338,76,498,970,498,12,0.551198189805123,0.015010146495452,Hamamelis,virginiana,American witchhazel,Hamamelis virginiana,Platanus,occidentalis,American sycamore,Platanus occidentalis,GRSM-Tremont-Lagoons
561,9338,76,498,1187,498,12,0.4496259128858806,0.0452164215340268,Hamamelis,virginiana,American witchhazel,Hamamelis virginiana,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Tremont-Lagoons
569,9338,81,471,98,471,12,0.4923076923076924,0.027479806211379,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Betula,lenta,sweet birch,Betula lenta,GRSM-Tremont-Lagoons
576,9338,81,483,823,483,14,0.4778072729642601,0.0182199720817427,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Lagoons
581,9338,98,371,823,467,12,0.5038314736557788,0.0233149963825438,Betula,lenta,sweet birch,Betula lenta,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Lagoons
587,9338,98,471,941,498,12,0.542651963827787,0.0156501377233771,Betula,lenta,sweet birch,Betula lenta,Nyssa,sylvatica,blackgum,Nyssa sylvatica,GRSM-Tremont-Lagoons
588,9338,98,471,970,498,12,0.5000610463343952,0.0265167833177904,Betula,lenta,sweet birch,Betula lenta,Platanus,occidentalis,American sycamore,Platanus occidentalis,GRSM-Tremont-Lagoons
591,9338,98,471,1192,498,12,0.8527388003008082,0.0001458083832771,Betula,lenta,sweet birch,Betula lenta,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Lagoons
593,9338,98,483,941,483,14,0.6966292134831461,0.0006390269269145,Betula,lenta,sweet birch,Betula lenta,Nyssa,sylvatica,blackgum,Nyssa sylvatica,GRSM-Tremont-Lagoons
594,9338,98,483,970,483,14,0.6591334681526582,0.0013413806058796,Betula,lenta,sweet birch,Betula lenta,Platanus,occidentalis,American sycamore,Platanus occidentalis,GRSM-Tremont-Lagoons
595,9338,98,483,1187,483,14,0.6033613708385918,0.0029827957416864,Betula,lenta,sweet birch,Betula lenta,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Tremont-Lagoons
603,9338,941,371,970,467,12,0.6407032156159438,0.0044757309061251,Nyssa,sylvatica,blackgum,Nyssa sylvatica,Platanus,occidentalis,American sycamore,Platanus occidentalis,GRSM-Tremont-Lagoons
